Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,820.0,822.0,782.25,800.0,726.74951171875,89516
2002-07-02,790.0,820.0,755.75,762.5,692.6831665039062,92527
2002-07-03,769.5,827.25,762.5,817.0,742.19287109375,112860
2002-07-04,828.0,924.5,804.75,880.75,800.1057739257812,677195
2002-07-05,875.0,917.25,861.0,893.0,811.234130859375,518007
2002-07-08,900.0,925.0,877.5,884.5,803.5123901367188,148939
2002-07-09,889.5,914.5,877.5,888.75,807.3734130859375,183901
2002-07-10,890.0,909.75,872.5,878.0,797.6075439453125,108059
2002-07-11,885.0,885.0,825.75,831.75,755.5924072265625,54912
2002-07-12,840.0,864.25,775.0,797.25,724.2513427734375,87996
2002-07-15,808.5,808.5,736.25,759.75,690.1848754882812,47537
2002-07-16,760.0,827.25,725.75,798.25,725.1597900390625,194181
2002-07-17,791.0,837.5,777.75,823.75,748.3248901367188,221660
2002-07-18,834.5,847.5,825.0,836.0,759.4531860351562,90196
2002-07-19,829.5,830.0,795.5,800.75,727.4307861328125,62688
2002-07-22,787.25,789.5,747.5,760.0,690.4119873046875,35867
2002-07-23,725.0,778.5,725.0,753.5,684.5072021484375,48334
2002-07-24,740.0,750.0,712.75,721.5,655.437255859375,28391
2002-07-25,746.0,774.5,687.5,718.75,652.9390258789062,43891
2002-07-26,695.0,752.5,685.25,727.75,661.114990234375,125039
2002-07-29,738.5,749.5,682.5,705.5,640.9022216796875,59581
2002-07-30,722.5,741.25,607.5,638.75,580.2640380859375,51227
2002-07-31,623.5,692.5,577.5,674.0,612.2864990234375,134082
2002-08-01,675.25,712.5,630.0,668.0,606.8358764648438,92398
2002-08-02,646.25,685.0,640.5,674.75,612.9678344726562,65947
2002-08-05,688.0,732.0,671.0,722.25,656.1185302734375,96611
2002-08-06,720.0,760.0,703.25,749.75,681.1005859375,75205
2002-08-07,779.5,788.0,743.0,751.25,682.4632568359375,86048
2002-08-08,760.0,773.25,702.5,714.25,648.8509521484375,57985
2002-08-09,732.25,770.0,719.5,744.75,676.558349609375,200189
2002-08-12,740.0,769.5,727.0,733.25,666.1112670898438,68577
2002-08-13,740.0,749.5,722.5,728.0,661.3421020507812,31618
2002-08-14,727.0,757.5,713.0,719.75,653.8475341796875,129395
2002-08-15,719.75,719.75,719.75,719.75,653.8475341796875,0
2002-08-16,738.5,740.0,708.25,715.5,649.9866943359375,48465
2002-08-19,725.0,740.0,717.75,724.75,658.3897094726562,57407
2002-08-20,735.5,765.0,710.0,759.25,689.730712890625,129140
2002-08-21,767.5,809.25,763.0,775.5,704.4927978515625,234837
2002-08-22,785.0,800.0,720.5,734.25,667.019775390625,222042
2002-08-23,743.75,746.75,715.5,729.75,662.9318237304688,117115
2002-08-26,745.0,755.0,726.25,730.0,663.1588134765625,78685
2002-08-27,737.25,739.5,707.0,713.75,648.3968505859375,57148
2002-08-28,714.5,723.5,700.75,716.75,651.1221923828125,59272
2002-08-29,722.25,722.25,700.0,704.75,640.2208251953125,40544
2002-08-30,712.5,758.75,705.25,749.0,680.4193115234375,122054
2002-09-02,762.5,773.75,742.0,750.25,681.5547485351562,128685
2002-09-03,750.0,758.0,733.75,741.5,673.6058959960938,79769
2002-09-04,732.5,745.25,715.0,741.5,673.6058959960938,43596
2002-09-05,745.0,753.0,725.0,729.75,662.9318237304688,50059
2002-09-06,730.0,730.0,707.75,714.0,648.6239013671875,26360
2002-09-09,720.5,728.5,700.0,706.25,641.5836181640625,16799
2002-09-10,706.25,706.25,706.25,706.25,641.5836181640625,0
2002-09-11,714.5,721.5,709.75,717.0,651.3491821289062,20567
2002-09-12,720.0,724.5,705.0,710.5,645.4444580078125,19991
2002-09-13,710.0,710.75,698.0,701.5,637.2684326171875,10436
2002-09-16,710.0,710.0,683.0,685.25,622.5064086914062,16346
2002-09-17,693.75,703.5,679.5,685.75,622.9605102539062,17732
2002-09-18,690.0,702.5,672.5,675.75,613.8762817382812,28992
2002-09-19,679.75,680.0,635.75,656.75,596.6160278320312,23343
2002-09-20,630.5,657.5,630.0,645.0,585.9417114257812,19951
2002-09-23,650.0,656.75,627.5,636.0,577.765869140625,15521
2002-09-24,627.5,632.5,611.25,617.25,560.732666015625,11630
2002-09-25,614.0,630.0,600.0,615.25,558.9157104492188,20022
2002-09-26,625.0,695.0,623.25,682.75,620.2352905273438,143948
2002-09-27,689.75,705.0,677.5,687.0,624.0961303710938,118753
2002-09-30,685.0,685.0,634.0,640.0,581.399658203125,48011
2002-10-01,636.25,647.5,621.0,629.0,571.4067993164062,28914
2002-10-02,629.0,629.0,629.0,629.0,571.4067993164062,0
2002-10-03,640.0,647.5,625.5,631.0,573.2236938476562,20942
2002-10-04,634.75,645.0,622.5,632.25,574.3592529296875,17629
2002-10-07,638.5,662.5,632.5,653.0,593.2092895507812,65256
2002-10-08,655.0,674.75,647.5,665.75,604.7919311523438,62247
2002-10-09,675.0,687.5,649.0,653.0,593.2092895507812,58004
2002-10-10,659.5,662.25,635.0,638.75,580.2640380859375,21750
2002-10-11,655.0,660.0,640.25,647.75,588.43994140625,25935
2002-10-14,657.75,675.5,647.5,654.25,594.3449096679688,54365
2002-10-15,654.25,654.25,654.25,654.25,594.3449096679688,0
2002-10-16,671.75,671.75,656.75,659.75,599.3412475585938,33505
2002-10-17,659.75,665.0,655.0,657.5,597.2973022460938,24459
2002-10-18,665.0,674.5,655.0,657.0,596.8428955078125,25250
2002-10-21,665.0,668.75,640.0,644.0,585.033447265625,11844
2002-10-22,655.5,655.5,630.0,632.5,574.5863647460938,19172
2002-10-23,633.0,642.25,622.75,629.5,571.8609619140625,6424
