Date,Open,High,Low,Close,Adj Close,Volume
2019-09-12,588.7999877929688,588.7999877929688,548.0,561.5499877929688,560.65869140625,1345
2019-09-13,568.0,568.0,477.70001220703125,561.0999755859375,560.2094116210938,2363
2019-09-16,545.25,562.0,545.25,558.5,557.6135864257812,504
2019-09-17,575.0,575.0,545.25,562.0,561.1079711914062,1098
2019-09-18,570.0,570.0,548.0499877929688,566.5,565.6008911132812,305
2019-09-19,561.0,564.5999755859375,549.0,558.9000244140625,558.0130004882812,270
2019-09-20,550.0,575.0,550.0,566.1500244140625,565.2514038085938,3809
2019-09-23,579.9500122070312,579.9500122070312,546.7999877929688,567.25,566.3496704101562,3515
2019-09-24,580.0,599.9500122070312,565.5,589.4000244140625,588.4645385742188,3314
2019-09-25,589.4000244140625,591.0,564.0499877929688,579.6500244140625,578.7300415039062,863
2019-09-26,589.9000244140625,619.0,573.7999877929688,594.1500244140625,593.20703125,11152
2019-09-27,589.5,624.1500244140625,573.0,611.5,610.5294189453125,3844
2019-09-30,633.9500122070312,633.9500122070312,585.0,591.0,590.06201171875,2865
2019-10-01,590.0,601.9500122070312,570.1500244140625,579.0499877929688,578.1309204101562,1422
2019-10-03,572.0,619.0,572.0,584.7000122070312,583.7720336914062,3890
2019-10-04,585.0,596.6500244140625,565.0,570.5,569.594482421875,2453
2019-10-07,570.0499877929688,590.0,570.0499877929688,583.4500122070312,582.5239868164062,926
2019-10-09,594.0,600.0,572.3499755859375,590.1500244140625,589.2133178710938,942
2019-10-10,580.0499877929688,593.0,568.1500244140625,571.2999877929688,570.3932495117188,8880
2019-10-11,570.0,584.5,567.9500122070312,574.6500244140625,573.7379150390625,2284
2019-10-14,591.9000244140625,603.0,570.0999755859375,587.4000244140625,586.4677124023438,2282
2019-10-15,561.0,588.0,560.0499877929688,579.25,578.3306274414062,1762
2019-10-16,580.0,595.0,575.0999755859375,582.3499755859375,581.4257202148438,1383
2019-10-17,575.1500244140625,593.5499877929688,575.0,578.0499877929688,577.1325073242188,1055
2019-10-18,580.0,591.7000122070312,572.0,575.7000122070312,574.7862548828125,949
2019-10-22,591.0499877929688,594.1500244140625,572.0999755859375,584.0999755859375,583.1729125976562,4683
2019-10-23,571.0999755859375,590.0,571.0999755859375,583.7000122070312,582.7735595703125,892
2019-10-24,589.2999877929688,592.0,565.25,571.2999877929688,570.3932495117188,2869
